App,Lingua,Valutazione,Utente,Data,Recensione
KitchenPal,EN,2,Dave Nelson,2026-07-04 08:14:24,"Bought Family Lifetime and scanned everything in the house. Algorithm seems to be VERY surface level, canned chicken in water is listed as ""water"" as an ingredient. When I attempt to change bad results like this and save, it doesn't save. When I turn off substitutes in the suggestions, THAT doesn't save either. VERY limited recipe categories, would like simple meal suggestions like chicken salad sandwiches or fish sticks and fries."
KitchenPal,EN,5,Linda Hargie,2026-07-03 11:29:55,"I love this app & find it most useful for planning meals & reducing waste. It requires some effort to enter each shopping into the app, but once done it efficiently reminds you of foods due to expire. It can even suggest recipes for each foodstuff & create shopping lists of foods once used & removed. I purchased the premium plan to access unlimited scans & encountered some difficulty upgrading the app, but I found the customer support from developer to be excellent. Would recommend!"
KitchenPal,EN,5,Marlene Schmelter,2026-06-30 19:44:04,I love this app. 72 years old and I'm finally getting my kitchen organized!!!
KitchenPal,EN,5,Melanie Allen,2026-06-27 02:06:02,"we've been using the free version of kitchenpal for years. we finally decided to pull the trigger and upgrade to premium. the added features are awesome! we had a few questions for support, and their response was quick and friendly! thanks guys"
KitchenPal,EN,2,Sevilay İpek,2026-06-26 14:40:01,"The app doesn't recognize products available in Turkey. While it offers an export function, there's no import option. Having to enter everything manually is quite tedious, and the AI feature doesn't work correctly."
KitchenPal,EN,5,Nick Sarzynski,2026-06-21 18:30:29,"Fantastic app. One of the few out there worth purchasing and just does what it states. It definitely took us a bit to get into the habit of adding things but once we did, the app greatly helped in lessening our food waste and stopped us from buying extras of what we already had. Also shout out to the dev team for developing an optimized, responsive app and being open to suggestions"
KitchenPal,EN,5,Mark Ham,2026-06-20 22:41:58,Great Idea 💡 easy to use. Im looking forward to the full version.
KitchenPal,EN,5,Lional Kovilraj,2026-06-17 19:59:58,Good One
KitchenPal,EN,5,Bridgett Hall,2026-06-15 19:46:39,"Updating from four to five stars. Customer support on this app is stellar. I sent an email late on a weekend night, and they responded quickly. Before I saw their response, I submitted a review, and they included questions about information I provided in the feedback in their next email. In a time where so many businesses are moving to AI with subpar support before you talk to a human, I am so grateful for service like this. Some small bugs and areas for improvement, but worth it!"
KitchenPal,EN,5,Randy Hamilton,2026-06-07 16:47:19,Great app. Love the scan features.
KitchenPal,EN,1,Kimberley Stenhouse,2026-05-31 13:57:10,"The first recipe I looked at after painstakingly going through my kitchen and scanning everything was peach cobbler, which I apparently had 100% ingredients for. I don't have peaches, so I checked the recipe......apparently this peach cobbler recipe does not call for peaches????????? the other ""recipes"" I was given were, sandwiches, gravy and other sauces. I have so many ingredients, ai know I have the ingredients for a lasagne and cottage pie and yet, no recipes for those or anything usefull!"
KitchenPal,EN,5,Paula Noble,2026-05-29 22:56:38,great app I love the scanner feature
KitchenPal,EN,5,lucy Knight,2026-05-25 18:19:02,"Only just started but instantly saw massive appeal and bought the lifetime membership. I love the barcode scanner, the vast array of recipes I'll be able to make using up my cupboard and freezer stocks."
KitchenPal,EN,5,Bongani Mathenjwa,2026-05-23 11:41:40,"perfect, makes life easy"
KitchenPal,EN,3,Joel Patterson,2026-05-20 00:40:57,too early to tell
KitchenPal,EN,4,Sivana,2026-05-15 07:39:30,This has a bunch of great features that I've been looking for for so many years! There are a few bugs here and there (already reported some I found) that they are currently addressing but it's still a great app. I'm looking forward to seeing this app improve and grow 👍
KitchenPal,EN,3,Alan Abel,2026-04-18 13:03:36,"Had an issue with the app losing data. The data was still stored online, just not showing in the app. Uninstalled and reinstalled the app. The data synced with the cloud, and shows up on the app."
KitchenPal,EN,5,Frank Mazook,2026-04-17 15:50:33,"Smartest app I've ever used - organization, great suggestions, overall must have for any kitchen..!"
KitchenPal,EN,5,Alexandria Taylor,2026-04-17 05:32:10,"love this app!! I LOVE the pantry and the ability to see what ingredients I already have for a recipe. this app is making meal planning, grocery shopping, and kitchen inventory a breeze for me and my family!! The option to do a lifetime purchase instead of a monthly/annual subscription is a huge plus. my only problem with this app is just that some recipes don't import from certain websites. this is my favorite pantry organizer/recipe storage/meal planning app that I've found!"
KitchenPal,EN,3,Katie Conradt,2026-04-09 13:24:17,I do not like that it limits to 50 scans.
KitchenPal,EN,5,Richard Tait,2026-03-25 18:06:22,"Very pleased with this app. Intuitive interface and easy to use. Useful features to sort foods by name, expiry date, etc. and whether something is part-used."
KitchenPal,EN,3,Craig Kirstein,2026-03-24 22:53:45,"Good for scanning, but has issues creating/editing storage spaces, the moment I click to edit, it loads for a second then immediately goes back and says 'saved storage spaces' without giving me the chance to edit or create any."
KitchenPal,EN,4,Tanya Spellins,2026-03-24 18:42:55,"Honestly, if the scan function worked better, this would be a 10 star rating! This has helped me so much."
KitchenPal,EN,3,Medina,2026-03-22 15:44:36,Scanned Items keep disappearing. spent 30 min scanning everything and it now shows me i got nothing. Then they reappeared and now they are gone again..
KitchenPal,EN,5,Racheal Mitchell,2026-03-17 22:29:13,"I have only used this app for a few days, but I have definitely decided to purchase the lifetime membership after my first month is through. This app has EVERYTHING in ONE place. While it is still in the early stages, it does have minor flaws, but nothing that isn't manageable."
KitchenPal,EN,5,Jacky Walker,2026-03-15 01:25:15,It's a wonderful app to keep track of what's in your pantry. You can download your entire pantry inventory and make your own grocery list like I did. The app's suggestions for meals with what's in stock is really helpful on those days when you are pressed for time and clueless on what to fix for dinner. It's very easy to scan each item before putting it on a shelf. I highly recommend KitchenPal.
KitchenPal,EN,5,Mary R,2026-03-14 08:16:39,amazing app!!
KitchenPal,EN,1,Mohsen Sehrawy,2026-03-09 11:36:33,broken. quantities keep changing no matter how many times u set them.
KitchenPal,EN,3,T B,2026-03-08 20:08:11,"it literally takes minutes for it to search, load, or do anything."
KitchenPal,EN,2,Amber Temple,2026-03-03 22:23:56,Leaving two stars for now hoping to get someone's attention. So far the app is excellent and we want to get the lifetime unlock for family except I don't see how this is working correctly. Someone is sharing our kitchen but nothing is updating. I know it's there because when I use the little magic wand to analyze the kitchen it pulls up everything that has been scanned but it isn't visible in my kitchen view. Again would love to invest IF we can get the family/ shared kitchen to work.
KitchenPal,EN,1,Lauren D,2026-02-24 09:10:57,I can not share my list with my family
KitchenPal,EN,3,Trish G,2026-02-23 18:45:59,"I really like this app, for the most part. I went to add a couple items to my inventory today, though, and most of my items I had already logged are missing!!! This is frustrating. For some reason it first said I didn't have an account, so then it said to sign up or sign in. I signed in and now most of my stuff that I already had logged is no longer there!"
KitchenPal,EN,2,Owen C Runk,2026-02-22 21:13:01,inventory tracking is fine but the categories don't make sense and you can't edit them. And the recipe section is pretty much useless. it completely ignores my filters and pushes nonsensical AI driven meals.
KitchenPal,EN,4,PlusSide OfFasting,2026-02-22 16:28:16,I really like this app the only thing that I can foresee is I don't like that the recipes don't have any ratings. I would like to know how receptive other people were to the recipes and how they liked it.
KitchenPal,EN,4,Crystal Allen,2026-02-21 21:05:08,Don't like that it is AI but works great
KitchenPal,EN,5,Armando López,2026-02-19 14:21:51,"phenomenal app with multiple ways to store your items, also has the practicality of multiple people being able to add to the shopping list. top 5 customer service as well! highly recommend"
KitchenPal,EN,5,Jayna Stewart,2026-02-16 18:32:53,"OMG once I started scanning kitchen items, I couldn't stop. Then to see how many recipes can be made with the ingredients, its mind blowing 🤯 LOVE IT!! 10/10"
KitchenPal,EN,5,Ana Zapata,2026-02-16 03:41:42,"incredible app! worth the premium subscription. I scanned everything in our kitchen and it's made a huge difference, the recipes are really good and the ability to add your own recipes is excelent. adding food to our planner updates our pantry. from the amount of oil I use to how many eggs I can't believe it! if you want to organize your kitchen and reduce waste, know just how long you have until expiration dates and even what you need to pick up on your next shopping trip this is the app!"
KitchenPal,EN,1,Ann Bailey,2026-02-14 23:15:41,unable to create and add products. does not contain simple canned products like mandarin oranges. Tried adding 3 different products without success
KitchenPal,EN,4,Marjorie Erdman,2026-02-14 03:18:03,"I love the app, and only wish there was a way to sort by type of food. It would be great to be able to plan my menu based on whatever meat I have in the freezer, or what veggies I have. Also, in order to change the name of an item, is my only option to delete it and re-enter it? Thanks. UPDATE: I still love this app and the new features, and tried to share the app with my family. I sent the link that the app provided, but they got an error message. What am I doing wrong?"
KitchenPal,EN,4,Pris Feng,2026-02-10 06:59:07,"I used this app to track my kitchen items expiry dates. It was working well in the past few months. But since 2026 started, all my pantry items are gone & showing empty log. //UPDATE: Re-tried the app after a mth, & my log is back. Sadly, some of my pantry items have been used up/expired in the mean while & need updating. Still not sure what caused the issue in the first place, but i worried it may happen again."
KitchenPal,EN,5,Dai The Shed,2026-02-09 21:21:40,Great app. Recommend trying it out.
KitchenPal,EN,2,Cassie Mondel,2026-02-08 03:31:15,app isn't creating new foods anymore. when I try to create a new food now it spins like it is doing it but doesn't move on to the next page.
KitchenPal,EN,1,M. B.,2026-02-07 22:02:13,"""Scan limit at 50 items for free version"" and I took that personally. Uninstalled."
KitchenPal,EN,5,Jen W,2026-02-07 04:27:47,I messed up when I signed up. my user name and paid plan didn't sync. they fixed it right away. im really liking the app and its a great fit for me. thanks!!
KitchenPal,EN,5,Jayne Jones,2026-02-05 03:30:33,"Love this app, so simple and easy to use"
KitchenPal,EN,1,Natalie Micevska Dodevska,2026-02-04 09:45:51,"uninstalled it. not useful, also i couldn't add my own custom items. for days it showed that it had a server problem or something similair. i wanted to buy premium since i really need to be able to easily scan and add to my pantry, but no use of the app if i can't also add my own items"
KitchenPal,EN,5,Aaron Frazier,2026-02-01 06:11:27,"im just getting started, and im going to have many items, so im looking forward to upgrading to the the subscription."
KitchenPal,EN,5,Jon Taylor,2026-01-28 15:06:14,"KitchenPal has been very helpful in keeping my kitchen inventory up to date, as well as helping with making my weekly shopping list much easier. I like how I can plan my week of meals in the calendar and easily get to the recipe I want to use. The recommended recipes are also a nice touch if you want to know what to make for dinner with the items you have on hand. I did experience one minor glitch, but their support team was quick to respond and resolved my issue perfectly. Highly recommended!"
KitchenPal,EN,1,lindi Smith (lindi),2026-01-25 11:38:20,Not for me... I entered my details and it offered baby food on the suggested list. Glad I didn't pay for it as it would have been horrible
KitchenPal,EN,3,Bronwyn,2026-01-13 01:55:04,"I loved the features but my kitchen page often comes up blank. Having read many others' reviews, it sounds like slow server is an ongoing issue for both paid and free users. I hope the developers resolve this longer term, but for now I will be trying an alternative app"
KitchenPal,EN,5,Aj Sal,2026-01-11 17:01:00,"Awesome app, but some recommendations: have options for how many days before an ingredient expires before you want a warning; have an option to set ingredients to automatically be added to certain shopping lists and certain food groups (having to move foods back to the food category I want them in after moving the from the shopping cart every time is taxing); add an option to create your own food type categories and food storage area categories. Awesome work so far!"
KitchenPal,EN,4,Charlene Borg,2026-01-11 10:39:04,"Updating review as uninstalling and reinstalling the app fixed the issue. only downside for me is a lot of UK products are not recognised by the barcode scanner. Old review: The past couple of weeks I'm constantly getting an error saying it can't connect to the server so I can no longer add things to my kitchen, and updating existing items is temperamental"
KitchenPal,EN,1,Samantha Evans,2026-01-10 16:11:48,isn't what I was hoping for
KitchenPal,EN,1,BarelyUsefulHuman,2026-01-09 18:28:48,Didn't recognise the first item that I scanned and then told me I had all the ingredients for a kale and nut salad when I scanned some instant mashed potato...
KitchenPal,EN,5,page scheuvront,2026-01-06 22:51:17,exactly what I need to track what's in the house especially if you can get other members of the house to share an account
KitchenPal,EN,5,Katie Schramm,2026-01-06 02:13:49,So far seems very user friendly. I think it's going to be really helpful for remembering what needs to be used when. I had also reached out to the team to see if there was a feature I thought might exist. It doesn't but they replied incredibly quickly and also noted they thought it was a good idea and would make a note for possible future development. I really appreciate how responsive and helpful they've been.
KitchenPal,EN,4,Kayley Cook,2026-01-03 03:58:41,"so far so good, only thing is not all barcodes work and I dont see a feature to search for brands which would be helpful"
KitchenPal,EN,5,PAUL SWINDASZ,2026-01-02 04:59:22,This is a great app to keep track of your stuff.
KitchenPal,EN,1,Dianna,2025-12-29 03:43:55,"I got your email, thank you. It's just difficult to go through and update the categories for all items. I went to open my app today and it asked me to sign in. Once signed in, it shows zero items. In my profile, it says I have 448 products in the kitchen, apparently I just can't see them. I tried changing the view and it didn't make a difference. I also can't perform a search."
KitchenPal,EN,4,David Young,2025-12-26 16:33:11,"I looked at about 10 pantry/shopping list apps and this is the only one that meets my requirements. It took me a couple of days to figure out how it works (more my skill level than the app). I did have a couple of questions and I received a response from the company within hours, with the solution, and that was on Christmas day! The only issue I have with this app is that I cannot add or modify the categories. If I could do that, I would give this app 5 stars."
KitchenPal,EN,1,Yuriy Perelman,2025-12-26 05:06:30,"The program obviously has potential, but unfortunately, many things still need to be fixed and improved. And first of all, the server speed - it takes too much time to search for the product and update it. I am not at all sure that the program will work if there is no Internet. Update: minus two stars. Recipes section is bad. You cannot control your own recipe after submitting. Cannot edit or delete. Unacceptable."
KitchenPal,EN,3,Ling Tan,2025-12-25 21:41:35,Very limited food items in database.
KitchenPal,EN,1,Na Per,2025-12-18 02:53:03,what a waste. spent hours adding items and then the app can't load my items.
KitchenPal,EN,1,Claude Pilger,2025-12-16 00:24:50,"stopped connecting to the server always getting error messages now. used to love this app, but not when it performs like hot garbage"
KitchenPal,EN,3,Rebecca Compton,2025-12-14 19:40:12,"Great for organizing, needs to expand categories to include spices"
KitchenPal,EN,1,Chris Follmer,2025-12-10 12:40:01,Just found out from Avast that my data came up on a security breach through this Kitchenpal app in 11/2023 but my former review and uninstall was in 7/2023. I'm just looking to find out if this is actually the case and also if you are based in Singapore?
KitchenPal,EN,5,Barry Hopkins,2025-12-09 11:30:17,"having reveiwed several kitchen inventory apps I chose Kitchen Pal and have been very pleased with it; it makes life a lot easier. On the one occasion I have had to contact support, the replay was prompt and solved my problem."
KitchenPal,EN,3,KEN Bowers,2025-12-08 02:46:01,"great app, just feel like a lot of foods aren't being put in the right categories and there should have more categories added."
KitchenPal,EN,1,Future Past Self,2025-12-07 23:13:55,doesn't work won't log in won't save the photo cool idea for where ever this works just wasted 20 min could have just wrote a list and now all the bitching from my family that apps don't work they can all be right and mad I wasted time. Thanx
KitchenPal,EN,3,Julie Bolton,2025-12-07 16:58:49,I really like the idea of this app but I am having endless issues with it having processing issues and accurately updating. it constantly shows the wrong data even after saving. I have to close the app and reopen it. And I paid for it. the constant memory failures and processing need to be fixed.
KitchenPal,EN,5,Dejonae Richards,2025-12-06 19:23:36,ngl I was very skeptical going in but I pove this app. as an adhd girly I always forget I have food and my food always expires this is absolutely perfect for me to keep track of all my food and when they expire. also love the part where based on your groceries it gives you recipes. 10/10
KitchenPal,EN,4,Supa Loki,2025-12-06 19:05:22,would be great if I can also track my pantry so I don't have to use another app to scan everything twice. but so far so good.
KitchenPal,EN,4,Theresa McShane,2025-11-26 14:49:55,app takes some getting used to but good
KitchenPal,EN,5,Haley Powell,2025-11-23 14:14:52,"very user friendly. only suggestion is offering recipes without having to add pantry staples like spices, flour, sugar, ect. so organized!!!!"
KitchenPal,EN,4,Kari Guenther,2025-11-22 07:51:25,seems pretty good for keeping track of what i have and what's expired. could use the following upgrades... kidney friendly recipes (low potassium and low phosphorus) and to print / share shopping list with store app or even a note app like one note. i don't need to share it with family. just myself.
KitchenPal,EN,5,Tim Bayley,2025-11-20 15:28:50,"So far, this seems to be both a very usable and useful app. It is continuously developing and the app designers seem to be listening and acting upon user input. After a trial period, I was happy to pay for a lifetime license as that seemed to be the best value. Very pleased with the performance and usability so far. I'd love to see the option to use camera to add an item alongside the present voice, Bar code and text options. It would also be useful to be able to add my own categories."
KitchenPal,EN,2,Marie Damman (Binger),2025-11-20 11:50:56,"I don't like it. the search is complicated, the time prep to set up starts from 10k, what does that even mean? I look for a végétarian dinner and get all options, dishes with meat, not ideal"
KitchenPal,EN,5,Megan Miller,2025-11-20 03:32:15,"I love this!!! It has every function I've only dreamed about. I jumped on the lifetime membership immediately because I know I'll be using this for a long, long time."
KitchenPal,EN,1,MY “GoogleArt”,2025-11-15 02:44:16,useless
KitchenPal,EN,5,Alexa Molligo (A Mommy Writes),2025-11-11 20:17:59,"Incredible, an app that is actually useful in real life! 😁"
KitchenPal,EN,2,Susanna Ross,2025-11-11 02:17:48,"Not impressed. I paid for a year premium because I wanted to create custom locations. I started with my fridge, but the app moved things, i.e., salad dressings are in spices, mayo in the pantry and the coffee creamerbis in beverages???? I'm trying to move them back to the fridge, but nothing happens. Totally unusable. What a waste of money!"
KitchenPal,EN,4,Hope Keeton,2025-11-06 16:52:29,"just getting started. Hopefully I won't run into , i now have to buy to go further"
KitchenPal,EN,4,Douglas DeCounter,2025-10-28 04:13:38,Just started looks good so far. only issue is adding nutritional data is very limited. unable to add vitamins
KitchenPal,EN,4,joanna wright,2025-10-27 18:16:32,"handy to keep track of ingredients, and the dates. having to add a lot manually. the premium membership doesn't say anywhere details of its benefits, so I'm unsure what plan might be best for me. hopefully this will help a lot with our budgeting"
KitchenPal,EN,5,Katherine Lanning,2025-10-27 00:19:33,"Just downloaded this a few days ago, and I've already inventoried most of my pantry. Excited to see what recipes it can recommend from here!"
KitchenPal,EN,5,Julie McLaughlin,2025-10-26 19:03:19,Great app for keeping track of what food is in your kitchen and pantry. It's very easy to add foods by scanning barcodes.
KitchenPal,EN,1,Jenn Bell,2025-10-17 16:44:57,couldn't create an account... not very user-friendly.
KitchenPal,EN,5,Shannon Cahill,2025-10-17 03:47:26,I absolutely love this app!
KitchenPal,EN,5,Kalene Pencek,2025-10-16 16:54:35,"So far I'm truly impressed. This is exactly what I've been looking for!!! I do a horrible job at grocery shopping, I over buy because I THINK we ran out, then we have double. I Also have no creativity with WHAT to cook with what I have on hand!! THANK YOU!!"
KitchenPal,EN,5,Captain Canny,2025-10-15 16:18:49,Love it!!!
KitchenPal,EN,1,F. R.,2025-10-15 15:07:30,"Add bread to your pantry and get absolutely swamped with recipes of shortbread. Don't like it? Tough, ANY filters are paid."
KitchenPal,EN,2,Hannah Mottram,2025-10-14 10:55:25,"Third item we scanned came up wrong, wouldn't let me input something simple like a pizza. Didn't work so not able to use."
KitchenPal,EN,3,Jen B,2025-10-12 19:36:04,"I want to love this app so much. I was an early adopter (paid for premium) and had uninstalled it a while back. I'm remembering why now. It hangs up a lot, often disconnects from whatever server and even changing an image takes forever. It's an elegant solution to a real problem but the time investment is a challenge."
KitchenPal,EN,5,maria mayo,2025-10-12 09:10:44,so far really helpful going to upgrade the the lifetime family plan it will make shopping so much easier
KitchenPal,EN,3,Hannah Ranger,2025-10-09 23:54:55,"amazing app, has helped me a lot with reducing waste and organizing my kitchen. however, the fact that we have to wait for a team to approve our recipes before we can even view them, and we are unable to edit our recipes afterwards, is super annoying. the lack of an ""each"" unit is also not ideal. I don't know how many grams my onions and eggs weigh, I just want to count them individually!!"
KitchenPal,EN,1,Adzener Rhett,2025-10-08 11:55:47,"It's a no for me. The features sound and look great. I tried to create a list and added about 10 things to the list just for only 4 of them to show. I tried going out of the app and back in to see if they would appear but nothing. I tried to re-add the items to the list, but that dint work either. It stopped being able to recognize basic items like broccoli and would say that I needed to create the item. I created it and it still would not add to the list. Not the app for me"
KitchenPal,EN,5,ashok pandey,2025-10-07 14:09:05,"it's very nice to arrange Grocery items at one place, this app. basically helps to know and Track Current Grocery at kitchen, needed Grocery & Expired Grocery. I didn't know whether this app gives reminder or alert about Grocery Expiring soon. or we have to check the same manually. Else it's a very good app."
KitchenPal,EN,3,Brook Gibson,2025-10-01 04:42:26,got it to share with my daughter and was unable to. it only gave the download link when it said share kitchen. the app was already downloaded. you have to pay to upload your own recipes and all the recipes that are avaiable are in duplicate.
KitchenPal,EN,3,anna ireton,2025-10-01 04:42:18,I got this app so I can share with my disabled mother what's inside the kitchen So I hit the share kitchen button but instead it takes her to the app screen even after she downloads it
KitchenPal,EN,2,Beatriz,2025-10-01 01:10:42,"Apparently you cannot add your own products unless you have an account. I would have liked to know that BEFORE wasting several minutes looking for and filling out all of the nutritional information for a pot of curry powder. It also doesn't make sense to lock such a basic feature behind an account if you don't have such basic products, making users have to manually add them. The layout is also buggy. Trying to sign up hides the email field at the top, leaving the whole screen blank."
KitchenPal,EN,4,Ashley Craine,2025-09-29 16:05:52,"so far so good. I love the concept. maybe for a future update, perhaps being able to add kitchen cooking appliances ( smoker, instapot, microwave only, crockpot etc) somit shows recipes that are specific to that cooking appliance"
KitchenPal,EN,1,Caitlin Sovey,2025-09-29 00:43:07,"They must be using AI, because every feature in very dumb. scanned items have pictures of completely different products, the categories are nonsensical, and the recipe suggestions are useless. I didn't have any strawberries, and only canned corn, but all it would suggest for me is various fresh strawberry and corn ON the cob recipes, pretty much ignoring all the other, more appropriate ingredients. Very busted, probably just a data scrapping scam."
KitchenPal,EN,2,Mandy Jay,2025-09-28 23:44:31,"Would allow me to select ingredients but then would change them to something else after i hit save: ny strip steak turned into ground beef, pork loin chops became a pork roast. Not helpful in tracking the ingredients I actually have in my home"
KitchenPal,EN,4,Elizabeth “Liz” Crowson,2025-09-23 05:51:52,"easy to add items to the pantry but sometimes glitches and adds it multiple times and when you delete the extra one it deletes both. sometimes glitches when trying to move items from one location to another. the recipe option has no understanding of the ingredients. example: rice cakes cannot be used as rice or egg drop soup as eggs. so I don't even bother with trying to use that function, which I would really like to utilize."
KitchenPal,EN,3,Paige Turner,2025-09-23 04:19:52,"The barcode scanner is phenomenal and enters about 95% of the things I try, even generics and store brands. The expiration date feature is awesome, especially for things like milk. But the idea that I can't just save my own recipes (and I shouldn't have to publish them) is awful. And when I tell it ""give me drink recipes with only these 5 ingredients"" it gives me everything from quinoia to cheesecake to pancakes. Either I'm too dumb to use the app, or it doesn't do what I need."
KitchenPal,EN,5,Rachael Behen,2025-09-22 20:47:00,So far this app was everything I was looking for. The recipe substitution mechanism can be a little wonky but aside from that it's great having everything in one place and being able to see what we have and what's about to expire and getting ideas for recipes etc!
KitchenPal,EN,3,Brigitte Estella,2025-09-21 23:50:36,"I would love to subscribe to this app, and it was between this app and another yet this one seemed easier to input items. Except when your inputting an item in manually, it seems cumbersome. also, wish they had a drop down menu for the stores you frequently visit rather than me having to input the store each time and a purchase date. Both those features and an easier way when inputting manually would have me sold on this app."
